 epoch,error
           1 ,   1.09873462    
           2 ,  0.877395272    
           3 ,  0.812795460    
           4 ,  0.912806332    
           5 ,  0.980746090    
           6 ,  0.724570513    
           7 ,  0.860042214    
           8 ,  0.886570096    
           9 ,  0.422429174    
          10 ,  0.380291015    
          11 ,  0.359751642    
          12 ,  0.352667719    
          13 ,  0.362983078    
          14 ,  0.378111839    
          15 ,  0.418511808    
          16 ,  0.419079751    
          17 ,  0.446637750    
          18 ,  0.387410104    
          19 ,  0.356656194    
          20 ,  0.253186524    
          21 ,  0.219033107    
          22 ,  0.204401642    
          23 ,  0.199967101    
          24 ,  0.196229056    
          25 ,  0.192707658    
          26 ,  0.189359754    
          27 ,  0.186171144    
          28 ,  0.183129624    
          29 ,  0.180224597    
          30 ,  0.177446231    
          31 ,  0.174785778    
          32 ,  0.172235310    
          33 ,  0.169787601    
          34 ,  0.167436033    
          35 ,  0.165174574    
          36 ,  0.162997708    
          37 ,  0.160900429    
          38 ,  0.158878073    
          39 ,  0.156926408    
          40 ,  0.155041397    
          41 ,  0.153219476    
          42 ,  0.151457205    
          43 ,  0.149751529    
          44 ,  0.148099482    
          45 ,  0.146498308    
          46 ,  0.144945621    
          47 ,  0.143439010    
          48 ,  0.141976222    
          49 ,  0.140555307    
          50 ,  0.139174312    
          51 ,  0.137831390    
          52 ,  0.136524871    
          53 ,  0.135253161    
          54 ,  0.134014815    
          55 ,  0.132808328    
          56 ,  0.131632492    
          57 ,  0.130485997    
          58 ,  0.129367679    
          59 ,  0.128276378    
          60 ,  0.127211109    
          61 ,  0.126170814    
          62 ,  0.125154629    
          63 ,  0.124161519    
          64 ,  0.123190708    
          65 ,  0.122241355    
          66 ,  0.121312797    
          67 ,  0.120404236    
          68 ,  0.119514905    
          69 ,  0.118644290    
          70 ,  0.117791563    
          71 ,  0.116956323    
          72 ,  0.116137870    
          73 ,  0.115335710    
          74 ,  0.114549227    
          75 ,  0.113778047    
          76 ,  0.113021702    
          77 ,  0.112279646    
          78 ,  0.111551367    
          79 ,  0.110836640    
          80 ,  0.110134877    
          81 ,  0.109445900    
          82 ,  0.108769104    
          83 ,  0.108104296    
          84 ,  0.107451059    
          85 ,  0.106809147    
          86 ,  0.106178097    
          87 ,  0.105557732    
          88 ,  0.104947776    
          89 ,  0.104347810    
          90 ,  0.103757702    
          91 ,  0.103177048    
          92 ,  0.102605782    
          93 ,  0.102043487    
          94 ,  0.101490103    
          95 ,  0.100945324    
          96 ,  0.100408792    
          97 ,   9.98805389E-02
          98 ,   9.93601903E-02
          99 ,   9.88476872E-02
         100 ,   9.83426869E-02
         101 ,   9.78451297E-02
         102 ,   9.73547772E-02
         103 ,   9.68714952E-02
         104 ,   9.63950381E-02
         105 ,   9.59253460E-02
         106 ,   9.54622701E-02
         107 ,   9.50055122E-02
         108 ,   9.45551470E-02
         109 ,   9.41107422E-02
         110 ,   9.36724991E-02
         111 ,   9.32401121E-02
         112 ,   9.28134099E-02
         113 ,   9.23923329E-02
         114 ,   9.19767469E-02
         115 ,   9.15665254E-02
         116 ,   9.11616310E-02
         117 ,   9.07618254E-02
         118 ,   9.03670862E-02
         119 ,   8.99773017E-02
         120 ,   8.95923153E-02
         121 ,   8.92120898E-02
         122 ,   8.88365805E-02
         123 ,   8.84655491E-02
         124 ,   8.80990252E-02
         125 ,   8.77368897E-02
         126 ,   8.73790234E-02
         127 ,   8.70253667E-02
         128 ,   8.66758153E-02
         129 ,   8.63303617E-02
         130 ,   8.59888270E-02
         131 ,   8.56511593E-02
         132 ,   8.53174105E-02
         133 ,   8.49873647E-02
         134 ,   8.46610144E-02
         135 ,   8.43382627E-02
         136 ,   8.40191394E-02
         137 ,   8.37034360E-02
         138 ,   8.33911300E-02
         139 ,   8.30822662E-02
         140 ,   8.27766359E-02
         141 ,   8.24743137E-02
         142 ,   8.21751803E-02
         143 ,   8.18791837E-02
         144 ,   8.15862194E-02
         145 ,   8.12963173E-02
         146 ,   8.10094178E-02
         147 ,   8.07254910E-02
         148 ,   8.04443359E-02
         149 ,   8.01660269E-02
         150 ,   7.98905119E-02
         151 ,   7.96177760E-02
         152 ,   7.93477371E-02
         153 ,   7.90803209E-02
         154 ,   7.88155049E-02
         155 ,   7.85533041E-02
         156 ,   7.82936513E-02
         157 ,   7.80364498E-02
         158 ,   7.77816251E-02
         159 ,   7.75292590E-02
         160 ,   7.72792846E-02
         161 ,   7.70316646E-02
         162 ,   7.67862648E-02
         163 ,   7.65431747E-02
         164 ,   7.63023794E-02
         165 ,   7.60636926E-02
         166 ,   7.58272260E-02
         167 ,   7.55928382E-02
         168 ,   7.53606036E-02
         169 ,   7.51303732E-02
         170 ,   7.49022141E-02
         171 ,   7.46761113E-02
         172 ,   7.44519159E-02
         173 ,   7.42297545E-02
         174 ,   7.40094408E-02
         175 ,   7.37911388E-02
         176 ,   7.35745952E-02
         177 ,   7.33599141E-02
         178 ,   7.31470510E-02
